SolarID	OrigID	CorrID	Date	School	Subject	Grade	TextType	Region
KUS-G-slo-1-GO-E-2009-10001	solar1s	solar1t	2009	gimnazija	slovenščina	1. letnik	esej ali spis	Gorica
KUS-G-slo-1-GO-E-2009-10002	solar2s	solar2t	2009	gimnazija	slovenščina	1. letnik	esej ali spis	Gorica
KUS-G-slo-2-GO-E-2009-10003	solar3s	solar3t	2009	gimnazija	slovenščina	2. letnik	esej ali spis	Gorica
KUS-G-slo-2-GO-E-2009-10004	solar4s	solar4t	2009	gimnazija	slovenščina	2. letnik	esej ali spis	Gorica
KUS-G-slo-2-GO-E-2009-10005	solar5s	solar5t	2009	gimnazija	slovenščina	2. letnik	esej ali spis	Gorica
KUS-G-slo-1-GO-E-2009-10006	solar6s	solar6t	2009	gimnazija	slovenščina	1. letnik	esej ali spis	Gorica
KUS-G-slo-2-GO-E-2009-10007	solar7s	solar7t	2009	gimnazija	slovenščina	2. letnik	esej ali spis	Gorica
KUS-G-slo-2-GO-E-2009-10008	solar8s	solar8t	2009	gimnazija	slovenščina	2. letnik	esej ali spis	Gorica
KUS-G-slo-2-GO-E-2009-10009	solar9s	solar9t	2009	gimnazija	slovenščina	2. letnik	esej ali spis	Gorica
KUS-G-slo-2-GO-E-2009-10010	solar10s	solar10t	2009	gimnazija	slovenščina	2. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10011	solar11s	solar11t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10012	solar12s	solar12t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10013	solar13s	solar13t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10014	solar14s	solar14t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10015	solar15s	solar15t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10016	solar16s	solar16t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10017	solar17s	solar17t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10018	solar18s	solar18t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10019	solar19s	solar19t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10020	solar20s	solar20t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10021	solar21s	solar21t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10022	solar22s	solar22t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10023	solar23s	solar23t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10024	solar24s	solar24t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10025	solar25s	solar25t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10026	solar26s	solar26t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10027	solar27s	solar27t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10028	solar28s	solar28t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10030	solar29s	solar29t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10031	solar30s	solar30t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10032	solar31s	solar31t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10033	solar32s	solar32t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10034	solar33s	solar33t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-MB-E-2010-10035	solar34s	solar34t	2010	gimnazija	slovenščina	4. letnik	esej ali spis	Maribor
KUS-G-slo-4-MB-E-2010-10036	solar35s	solar35t	2010	gimnazija	slovenščina	4. letnik	esej ali spis	Maribor
KUS-G-slo-4-MB-E-2010-10037	solar36s	solar36t	2010	gimnazija	slovenščina	4. letnik	esej ali spis	Maribor
KUS-G-slo-4-MB-E-2010-10038	solar37s	solar37t	2010	gimnazija	slovenščina	4. letnik	esej ali spis	Maribor
KUS-G-slo-4-MB-E-2010-10039	solar38s	solar38t	2010	gimnazija	slovenščina	4. letnik	esej ali spis	Maribor
KUS-G-slo-1-MB-E-2008-10040	solar39s	solar39t	2008	gimnazija	slovenščina	1. letnik	esej ali spis	Maribor
KUS-G-slo-1-MB-E-2007-10041	solar40s	solar40t	2007	gimnazija	slovenščina	1. letnik	esej ali spis	Maribor
KUS-G-slo-2-MB-E-2008-10042	solar41s	solar41t	2008	gimnazija	slovenščina	2. letnik	esej ali spis	Maribor
KUS-G-slo-3-MB-E-2009-10043	solar42s	solar42t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Maribor
KUS-G-slo-3-LJ-E-2009-10044	solar43s	solar43t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10045	solar44s	solar44t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10046	solar45s	solar45t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10047	solar46s	solar46t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10048	solar47s	solar47t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10049	solar48s	solar48t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10050	solar49s	solar49t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10051	solar50s	solar50t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10052	solar51s	solar51t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10053	solar52s	solar52t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10054	solar53s	solar53t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10055	solar54s	solar54t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10056	solar55s	solar55t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10057	solar56s	solar56t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10058	solar57s	solar57t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10059	solar58s	solar58t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10060	solar59s	solar59t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10061	solar60s	solar60t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10062	solar61s	solar61t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-3-LJ-E-2009-10063	solar62s	solar62t	2009	gimnazija	slovenščina	3. letnik	esej ali spis	Ljubljana
KUS-G-slo-4-GO-E-2009-10064	solar63s	solar63t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10065	solar64s	solar64t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10066	solar65s	solar65t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10067	solar66s	solar66t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10068	solar67s	solar67t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10069	solar68s	solar68t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10070	solar69s	solar69t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10071	solar70s	solar70t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10072	solar71s	solar71t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10073	solar72s	solar72t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10074	solar73s	solar73t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10075	solar74s	solar74t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10076	solar75s	solar75t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10077	solar76s	solar76t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10078	solar77s	solar77t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10079	solar78s	solar78t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10080	solar79s	solar79t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10081	solar80s	solar80t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10082	solar81s	solar81t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10083	solar82s	solar82t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10084	solar83s	solar83t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10085	solar84s	solar84t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
KUS-G-slo-4-GO-E-2009-10086	solar85s	solar85t	2009	gimnazija	slovenščina	4. letnik	esej ali spis	Gorica
